Custom_Time_Name,"Custom_Time_Code","Country Name","Country Code","GDP per capita, PPP (constant 2011 international $) [NY.GDP.PCAP.PP.KD]","Individuals using the Internet (% of population) [IT.NET.USER.ZS]","Railways, passengers carried (million passenger-km) [IS.RRS.PASG.KM]","Air transport, passengers carried [IS.AIR.PSGR]","Air transport, registered carrier departures worldwide [IS.AIR.DPRT]","Central government debt, total (% of GDP) [GC.DOD.TOTL.GD.ZS]","Tax revenue (% of GDP) [GC.TAX.TOTL.GD.ZS]","CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high) [IQ.CPA.TRAN.XQ]","UHC service coverage index [SH.UHC.SRVS.CV.XD]"
Most Recent Value,"(Most Recent Value)","Guyana","GUY","7667.13048992028(2018)","37.3258367878094(2017)","..","26069(2018)","1931(2018)","..","..","3(2018)","72(2017)"
Most Recent Value,"(Most Recent Value)","Haiti","HTI","1656.29390373316(2018)","32.4736271300557(2018)","..","..","..","..","..","2.5(2018)","49(2017)"
Most Recent Value,"(Most Recent Value)","Honduras","HND","4559.73650835258(2018)","31.7(2017)","..","411989(2018)","14832(2018)","..","17.3444720611594(2015)","3(2018)","65(2017)"
Most Recent Value,"(Most Recent Value)","Hong Kong SAR, China","HKG","57318.0578276611(2018)","90.5073953294283(2018)","..","47101822(2018)","245146(2018)","..","..","..",".."
Most Recent Value,"(Most Recent Value)","Hungary","HUN","28464.5601991086(2018)","76.0743606365063(2018)","5518(2018)","31226848(2018)","183541(2018)","96.1864484805675(2016)","22.9292090290924(2017)","..","74(2017)"
Most Recent Value,"(Most Recent Value)","Iceland","ISL","48605.5770662332(2018)","99.0109539916991(2018)","..","7819740.55998243(2018)","54653.3025910987(2018)","73.1811978838547(2016)","23.317884393051(2018)","..","84(2017)"
Most Recent Value,"(Most Recent Value)","India","IND","6888.18846764452(2018)","34.45(2017)","1149835(2017)","164035637.545(2018)","1200111.363(2018)","50.3118273627008(2013)","11.1820793285267(2017)","3.5(2013)","55(2017)"
Most Recent Value,"(Most Recent Value)","Indonesia","IDN","11605.8553349579(2018)","39.9046386462913(2018)","25654(2017)","115154100.909(2018)","959307.381(2018)","31.366190714778(2016)","9.879192686671(2017)","..","57(2017)"
Most Recent Value,"(Most Recent Value)","Iran, Islamic Rep.","IRN","19097.9667811982(2017)","70.0045522180671(2018)","13270(2017)","25604871.412779(2018)","228803.615779(2018)","..","..","..","72(2017)"
Most Recent Value,"(Most Recent Value)","Iraq","IRQ","15471.2452863385(2018)","75.0000013115036(2018)","99.683(2010)","2075065.8(2018)","21071(2018)","28.081055654641(2016)","1.97946906642708(2016)","..","61(2017)"
Most Recent Value,"(Most Recent Value)","Ireland","IRL","70855.3272396839(2018)","84.5223020568612(2018)","2122(2017)","167598633(2018)","935961(2018)","84.8295535010247(2016)","18.2623536331817(2018)","..","76(2017)"
Most Recent Value,"(Most Recent Value)","Isle of Man","IMN","..","..","..","..","..","..","..","..",".."
Most Recent Value,"(Most Recent Value)","Israel","ISR","33609.0230618669(2018)","83.7331390569778(2018)","2765(2017)","7404373(2018)","53901(2018)","..","23.0678465313704(2018)","..","82(2017)"
Most Recent Value,"(Most Recent Value)","Italy","ITA","35828.4862805267(2018)","74.3871829234822(2018)","39449(2018)","27630435.6(2018)","256596(2018)","..","23.0544503639234(2017)","..","82(2017)"
