Custom_Year_Name,"Custom_Year_Code","Country Name","Country Code","Hospital beds (per 1,000 people) [SH.MED.BEDS.ZS]","Physicians (per 1,000 people) [SH.MED.PHYS.ZS]","Smoking prevalence, total, ages 15+ [SH.PRV.SMOK]","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age) [SH.ALC.PCAP.LI]","Out-of-pocket expenditure (% of current health expenditure) [SH.XPD.OOPC.CH.ZS]","People with basic handwashing facilities including soap and water (% of population) [SH.STA.HYGN.ZS]","Population ages 0-14 (% of total population) [SP.POP.0014.TO.ZS]","Population ages 15-64 (% of total population) [SP.POP.1564.TO.ZS]","Population ages 65 and above (% of total population) [SP.POP.65UP.TO.ZS]","Population, total [SP.POP.TOTL]","Rural population (% of total population) [SP.RUR.TOTL.ZS]","Diabetes prevalence (% of population ages 20 to 79) [SH.STA.DIAB.ZS]","Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD]","Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%) [SH.UHC.OOPC.25.ZS]","GNI per capita, Atlas method (current US$) [NY.GNP.PCAP.CD]","Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS]","Poverty headcount ratio at national poverty line (% of population) [SI.POV.NAHC]","Public spending on education, total (% of GDP) [SE.XPD.TOTL.GD.ZS]"
Most Recent Value,"(Most Recent Value)","Bhutan","BTN","1.7(2012)","0.3715(2017)","","0.6(2016)","20.12969552(2016)","79.8070433891088(2014)","25.7713537330923(2018)","68.2256345541021(2018)","6.00301171280561(2018)","754394(2018)","59.105(2018)","10.3(2019)","91.33533448(2016)","0.411514669656753(2017)","3080(2018)","66.56115(2017)","8.2(2017)","6.64043(2018)"
Most Recent Value,"(Most Recent Value)","Bolivia","BOL","1.1(2014)","1.6111(2016)","","4.8(2016)","28.02112047(2016)","25.3828990744977(2017)","31.0735477456373(2018)","61.7345048621782(2018)","7.19194739218447(2018)","11353142(2018)","30.575(2018)","6.8(2019)","213.01732534(2016)","1.08576714992523(2015)","3370(2018)","92.45508(2015)","34.6(2018)","7.28535(2014)"
Most Recent Value,"(Most Recent Value)","Bosnia and Herzegovina","BIH","3.5(2013)","2.0003(2013)","38.9(2016)","6.4(2016)","28.68117751(2016)","97.1638030400127(2016)","14.7662176493152(2018)","68.7634648796227(2018)","16.4703174710621(2018)","3323929(2018)","51.755(2018)","9(2019)","443.78378047(2016)","1.38621237128973(2015)","5740(2018)","96.99177(2013)","16.9(2015)",""
Most Recent Value,"(Most Recent Value)","Botswana","BWA","1.8(2010)","0.3688(2016)","20(2016)","8.4(2016)","5.24849231(2016)","","34.1129460158256(2018)","61.6631796378814(2018)","4.22387434629301(2018)","2254126(2018)","30.554(2018)","5.8(2019)","379.9230078(2016)","","7750(2018)","87.7(2014)","",""
Most Recent Value,"(Most Recent Value)","Brazil","BRA","2.2(2014)","2.1499(2018)","13.9(2016)","7.8(2016)","43.56023599(2016)","","21.3340719108545(2018)","69.7430902567055(2018)","8.92283783244003(2018)","209469333(2018)","13.431(2018)","10.4(2019)","1015.93444765(2016)","","9140(2018)","93.2275(2018)","","6.24106(2015)"
Most Recent Value,"(Most Recent Value)","British Virgin Islands","VGB","","","","","","","","","","29802(2018)","52.277(2018)","14.2(2019)","","","","","","3.23202(2017)"
Most Recent Value,"(Most Recent Value)","Brunei Darussalam","BRN","2.7(2015)","1.7701(2015)","16.9(2016)","0.4(2016)","5.07159269(2016)","","23.0264614896856(2018)","72.1003909428086(2018)","4.87314756750582(2018)","428962(2018)","22.371(2018)","13.3(2019)","630.6293586(2016)","","29660(2018)","97.21411(2018)","","4.42541(2016)"
Most Recent Value,"(Most Recent Value)","Bulgaria","BGR","6.8(2013)","3.9879(2014)","37(2016)","12.7(2016)","47.95404673(2016)","","14.5954653179814(2018)","64.3826202477506(2018)","21.021914434268(2018)","7024216(2018)","24.992(2018)","6(2019)","612.47858555(2016)","0.757654244080186(2010)","8860(2018)","98.35245(2011)","22(2017)","4.07685(2013)"
Most Recent Value,"(Most Recent Value)","Burkina Faso","BFA","0.4(2010)","0.06(2016)","12.5(2016)","8.2(2016)","31.39360194(2016)","11.877389332001(2017)","44.9480813221662(2018)","52.6449378491703(2018)","2.40698082866355(2018)","19751535(2018)","70.642(2018)","7.3(2019)","40.94095568(2016)","0.417354563251138(2014)","670(2018)","41.22445(2018)","40.1(2014)","4.16607(2015)"
Most Recent Value,"(Most Recent Value)","Burundi","BDI","0.8(2014)","0.05(2016)","","7.5(2016)","30.51368128(2016)","6.14409936808611(2017)","45.5016807491186(2018)","52.2513787905443(2018)","2.24694046033717(2018)","11175378(2018)","86.968(2018)","5.1(2019)","18.46188216(2016)","0.432863552123308(2013)","280(2018)","68.37533(2017)","64.9(2013)","4.76183(2017)"
